2017-01-12 15 2 0
2017-01-13 21 2 1
2017-01-14 14 2 0
2017-01-15 10 1 0
2017-01-16 18 2 1
2017-01-17 17 3 1
2017-01-18 18 2 1
2017-01-19 9 1 0
2017-01-20 7 1 0
2017-01-21 6 1 0
2017-01-22 12 1 0
2017-01-23 18 2 1
2017-12-05 4 1 0
2017-12-06 12 1 0
2017-12-07 12 1 0
2017-12-08 7 1 0
2017-12-09 6 1 0
2017-12-10 34 3 1
2017-12-11 40 3 1
2017-12-12 22 2 1
2017-12-13 15 2 0
2017-12-14 14 2 0
2017-12-15 10 1 0
2017-12-16 4 1 0
2017-12-17 15 2 0
2017-12-18 3 1 0
2018-01-01 5 1 0
2018-01-02 8 1 0
2018-01-03 26 3 1
2018-01-04 23 3 1
2018-01-05 8 1 0
2018-01-06 9 1 0
