username;date;retweets;favorites;text;geo;location;mentions;hashtags;id;query;permalink
NS_online;2017-12-15 00:02;0;0;"Wat ontzettend vervelend dat je de de aansluiting hebt gemist . Excuses voor het ongemak. Als je uit eigen initiatief een taxi hebt gepakt, kan ik deze helaas niet vergoeden. ^MZ";;Utrecht;;;"941428279344496640";aansluiting AND gemist;https://twitter.com/NS_online/status/941428279344496640
NS_online;2017-12-14 21:11;0;0;"Ik kan me goed voorstellen dat je hiervan baalt, wat jammer dat je ook je aansluiting hebt gemist . Ben je inmiddels wel alweer onderweg? ^JJ";;Utrecht;;;"941385108573052928";aansluiting AND gemist;https://twitter.com/NS_online/status/941385108573052928
YelleKleykens;2017-12-14 19:58;0;1;"@NMBS Ik zit op IC2617 en moet naar Alken maar door vertraging in Leuven overstap gemist . Trein wordt dan in Leuven nog eens gehalveerd waardoor we nu op elkaar geperst staan. Conducteur weigert aansluiting aan te vragen in Hasselt met IC1542. Schande!";;België;@NMBS;;"941366707939102720";aansluiting AND gemist;https://twitter.com/YelleKleykens/status/941366707939102720
yasmine_jacobs;2017-12-14 13:33;0;0;"Ik moet naar Technopolis Mechelen, de volgende 500 is ondertussen gekomen. Ik heb mijn aansluiting aan het station hierdoor ook gemist & ik zal te laat komen op mijn werk!";;mechelen ;;;"941269833471201281";aansluiting AND gemist;https://twitter.com/yasmine_jacobs/status/941269833471201281
RubenHauben;2017-12-14 10:15;0;0;"De cijfers na 4 dagen #nieuwedienstregeling : - 176 min vertraging - 1 afgeschafte trein - 2 keer aansluiting gemist #nmbs #topbedrijf";;Lanaken, België;;#nieuwedienstregeling #nmbs #topbedrijf;"941220175130628097";aansluiting AND gemist;https://twitter.com/RubenHauben/status/941220175130628097
snoopsel;2017-12-14 09:10;0;0;"Nu zit ik dus in de trein terug naar Amsterdam Zuid, want ik had de aansluiting op Duivendrecht gemist omdat m'n alternatieve route ook vertraging had. Ik zal weten dat ik met de trein reis.";;Utrecht, The Netherlands;;;"941203849594982400";aansluiting AND gemist;https://twitter.com/snoopsel/status/941203849594982400
Debbiemuller75;2017-12-14 08:59;0;0;"Weer zonder melding of iets dergelijks de metro van 07.54 uur uitgevallen. Hoe moeilijk is het?? #optijdrijden #melden @GVB_actueel @GVBnieuws @GVB_klanten . Weer aansluiting gemist , weer wachten, weer te laat pic.twitter.com/uS65MtjLyl";;;@GVB_actueel @GVBnieuws @GVB_klanten;#optijdrijden #melden;"941200908154802178";aansluiting AND gemist;https://twitter.com/Debbiemuller75/status/941200908154802178
VanBruggenwirth;2017-12-14 08:54;0;0;"Nee nog niet. Uiteraard de reguliere aansluiting gemist (niet erg want het was lekker behaaglijk in de trein) en de volgende heeft ook vertraging..... over 10 min kan ik aan het werk (lekker belangrijk ) ik ga nog even lezen!";;;;;"941199741731442688";aansluiting AND gemist;https://twitter.com/VanBruggenwirth/status/941199741731442688
NS_online;2017-12-13 23:40;0;0;"Nee, daar heb je een punt. Ook heel vervelend dat je net de aansluiting op Weesp hebt gemist vanavond. Kan mij voorstellen dat je dit graag anders had gezien. ^SK";;Utrecht;;;"941060315340525568";aansluiting AND gemist;https://twitter.com/NS_online/status/941060315340525568
Flycoman;2017-12-13 18:58;0;0;"En gister ochtend had ik ook al de aansluiting gemist maar dan van de 103 uit Willemstad naar de 117 Breda... Terwijl er tussen de overstap 4 min zit op 9292";;;;;"940989411155734530";aansluiting AND gemist;https://twitter.com/Flycoman/status/940989411155734530
elzet15;2017-12-13 18:42;0;0;"Moeten ze wel rijden. Bovenleiding stuk, koperdiefstal, bladeren op rails, forenzentrein uit dienstregeling, defecte locomotief aansluiting gemist , machinist niet voorhanden, ... De genoegens van NS zijn legio ALS ze rijden.";;;;;"940985266667442177";aansluiting AND gemist;https://twitter.com/elzet15/status/940985266667442177
delaculotte;2017-12-13 17:56;0;0;"@PolitieMeWi Topidee om in station mechelen drugcontroles te houden bij pendelaars tijdens de spits! #aansluitinggemist";;;@PolitieMeWi;#aansluitinggemist;"940973591000158208";aansluiting AND gemist;https://twitter.com/delaculotte/status/940973591000158208
BartRikers;2017-12-13 16:59;0;0;"Dat wel, helaas wel mijn aansluiting in Utrecht gemist . Maar vind het wel lichtelijk verontrustend dat jullie blijkbaar zomaar een trein kunnen kwijt raken...";;Maastricht, Limburg;;;"940959371416211456";aansluiting AND gemist;https://twitter.com/BartRikers/status/940959371416211456
Klaske1984;2017-12-13 12:40;0;0;"@NS_online hoe zit het met geld terug vragen op internationale reizen? Eerst aansluiting in Lille gemist door vertraging en nu sta ik al een tijdje stil in Haute Picardie. Ik had nu al in MLV willen zijn.";;Almere, Nederland;@NS_online;;"940894172801847302";aansluiting AND gemist;https://twitter.com/Klaske1984/status/940894172801847302
EvaHopstaken;2017-12-13 12:32;0;0;"Tijd doden (want 2 uur wachten omdat ik door vetragingen aansluiting naar Hannover heb gemist ) (@Grand Café De Twee Wezen in Hengelo, Overijssel) https://www. swarmapp.com/c/6RwIjJ8ewgf pic.twitter.com/yXaGI5s2u9";[52.26539396, 6.79273643];Breda;@Grand;;"940892200019390464";aansluiting AND gemist;https://twitter.com/EvaHopstaken/status/940892200019390464
biancaberentsen;2017-12-13 11:55;0;0;"Ik weet niet wie er bij @NS_online beslist welke trein er voor mag en welke moet wachten. Maar die mag een cursus logisch nadenken volgen. 15 min voor een wissel wachten op vertraagde intercitys. O.a.1 die na 'ons' hoort te vertrekken en daarop de aansluiting gemist .";;Amsterdam;@NS_online;;"940882812986675206";aansluiting AND gemist;https://twitter.com/biancaberentsen/status/940882812986675206
NS_online;2017-12-13 11:52;0;0;"Excuus voor de late reactie Jeroen. Erg vervelend om te lezen dat je door een vertraging je aansluiting hebt gemist . Hopelijk heb je de trein richting Hamburg alsnog kunnen nemen. ^MM";;Utrecht;;;"940882167290359808";aansluiting AND gemist;https://twitter.com/NS_online/status/940882167290359808
EvaHopstaken;2017-12-13 11:31;0;0;"aansluiting gemist . Nu naar Hengelo... #Treinleven";;Breda;;#Treinleven;"940876902901874689";aansluiting AND gemist;https://twitter.com/EvaHopstaken/status/940876902901874689
silvertje;2017-12-13 10:12;0;0;"@NS_online Hi! Wat gebeurt er als er in Duitsland lokale treinen opgeheven worden waardoor ICE aansluiting Köln-Amsterdam gemist wordt? Mag je dan met je kaartje in de volgende trein?";;Amsterdam;@NS_online;;"940857026783207425";aansluiting AND gemist;https://twitter.com/silvertje/status/940857026783207425
DeCockNaomi;2017-12-13 06:23;0;0;"Godverdomme @NMBS kunnen jullie nooit op tijd zijn? Eerste trein in de ochtend en nog te laat -> aansluiting gemist -> kans op missen van vlucht goed bezig jongens!!!!";;Mallorca, Igers Baleares;@NMBS;;"940799374522712070";aansluiting AND gemist;https://twitter.com/DeCockNaomi/status/940799374522712070
tinkagriff;2017-12-12 19:23;0;0;"@NS_online Willen jullie de persoon die aan de noodrem heeft getrokken nog even bedanken. Heb mn aansluiting (bus) gemist , volgende gaat pas over n uur";;;@NS_online;;"940633239697416193";aansluiting AND gemist;https://twitter.com/tinkagriff/status/940633239697416193
JJBaniston;2017-12-12 14:42;0;0;"Ik ben er geraakt maar met 3 uur vertraging waardoor ik aansluiting heb gemist en nu dus stunt en vliegwerk moet uithalen om op mijn bestemming te geraken. Maar avontuur is leuk!";;;;;"940562446607142917";aansluiting AND gemist;https://twitter.com/JJBaniston/status/940562446607142917
RobLeemhuis;2017-12-12 11:17;0;1;"Goede reis verder! Herkenbaar gevoel #aansluitinggemist #almelo";;Leeuwarden;;#aansluitinggemist #almelo;"940510932786130945";aansluiting AND gemist;https://twitter.com/RobLeemhuis/status/940510932786130945
BertRowies;2017-12-12 09:47;0;0;"@NMBS trein van 7.32 in Aalst naar Vilvoorde leek al vertrokken te zijn door niet meer vermelding op het bord om 7.31. Gevolg: trein weg, aansluiting gemist , ...";;Aalst;@NMBS;;"940488162027155456";aansluiting AND gemist;https://twitter.com/BertRowies/status/940488162027155456
ankietjjeuh;2017-12-12 09:01;0;0;"@NMBS wederom aansluiting gemist in gent sint pieters...bijna alle dagen hetzelfde liedje";;;@NMBS;;"940476723371667456";aansluiting AND gemist;https://twitter.com/ankietjjeuh/status/940476723371667456
BasieP;2017-12-12 09:00;0;0;"@NS_online en weer aansluiting gemist door een van jullie vertragingen.";;Netherlands;@NS_online;;"940476388334850048";aansluiting AND gemist;https://twitter.com/BasieP/status/940476388334850048
karendewitte;2017-12-12 08:15;0;0;"@delijn Danku om er voor te zorgen dat ik mijn aansluiting met de trein gemist heb!";;;@delijn;;"940465145259622401";aansluiting AND gemist;https://twitter.com/karendewitte/status/940465145259622401
cinsalsa;2017-12-12 00:22;0;0;"Een aansluiting gemist , weer omgeboekt... Nu gelukkig richting Eindhoven! Gehaald #sneeuw #CodeRood #Praag";;The Netherlands, Eindhoven;;#sneeuw #CodeRood #Praag;"940346171977027584";aansluiting AND gemist;https://twitter.com/cinsalsa/status/940346171977027584
ReneDamkot;2017-12-11 23:09;0;0;"Eenmaal bijna bij een pinautomaat, toen ik aansluiting trein gemist had en strandde in Arnhem. Uiteindelijk aangebeld bij een ex. Woonde allang niet meer in dat studentenhuis, maar kon wel daar pitten.";;iPhone: 52.221008,6.895315;;;"940327700039860224";aansluiting AND gemist;https://twitter.com/ReneDamkot/status/940327700039860224
saravdv;2017-12-11 11:20;0;1;"Aansluiting nét gemist . Op andere trein gesprongen en nu hopen dat ik de volgende aansluiting haal. #nmbs #pendelpret";;Londerzeel, België;;#nmbs #pendelpret;"940149253342670848";aansluiting AND gemist;https://twitter.com/saravdv/status/940149253342670848
NS_online;2017-12-11 09:18;0;0;"Het is natuurlijk erg balen dat je je aansluiting hierdoor gemist hebt. Wel lekker dat je even warm kan worden met een lekkere kop koffie :).^MA";;Utrecht;;;"940118462332067840";aansluiting AND gemist;https://twitter.com/NS_online/status/940118462332067840
SanderQuote;2017-12-10 23:28;1;11;"Ha @KLM , na gecancelde vlucht, 3 uur in stilstaand vliegtuig bibberen aan de gate, is vriendin nu gestrand in Stockholm, want aansluiting gemist door jullie gepruts. Reactie wicht bij KLMdesk: ‘alle hotels vol, zoek het uit’. Wat zijn jullie toch een on-ge-loof-lijk kutbedrijf.";;Amsterdam;@KLM;;"939969989284679686";aansluiting AND gemist;https://twitter.com/SanderQuote/status/939969989284679686
LammersMarc;2017-12-10 00:31;0;0;"Ik noem dit geen sint Bernard.... En ik heb dus een taxi moeten nemen omdat ik mijn aansluiting heb gemist ... pic.twitter.com/X4ASz3uVa3";;;;;"939623482136162304";aansluiting AND gemist;https://twitter.com/LammersMarc/status/939623482136162304
nyniann;2017-12-08 21:44;0;0;"En hierbij eerste keer dus aansluiting naar Groningen en nu naar Harlingen gemist";;;;;"939219217987055616";aansluiting AND gemist;https://twitter.com/nyniann/status/939219217987055616
Dave__I;2017-12-08 18:24;0;0;"@NS_online fijn, net als vanmorgen door vertraging de aansluiting gemist . Dus weer, net als vanmorgen, 30 min wachten in de kou op Schiphol....";;;@NS_online;;"939168772669280258";aansluiting AND gemist;https://twitter.com/Dave__I/status/939168772669280258
JurjenSmid;2017-12-08 10:25;0;0;"@Arriva_NL Van de 4 ritten deze week 3x vertraagd. Daardoor 3x aansluiting gemist en te laat op school. Toch jammer.";;De Gordyk;@Arriva_NL;;"939048267719086081";aansluiting AND gemist;https://twitter.com/JurjenSmid/status/939048267719086081
vdbrg;2017-12-07 21:51;0;0;"@NS_online hoe zit dat met in stand houden van aansluitingen tegenwoordig? Vandaag al 2 keer op Ht aansluiting gemist door spoorwijziging zonder nadere uitleg of noodzaak. Kost zeker uur extra reistijd. Als klap op de vuurpijl gaat 6673 (+12) voor 3673 (+2). Bestaat TAD niet meer";;Breda, Netherlands;@NS_online;;"938858649623171072";aansluiting AND gemist;https://twitter.com/vdbrg/status/938858649623171072
someone73;2017-12-07 20:42;0;0;"Ik bezoek dat deze in de spits om onduidelijke reden wacht in Apeldoorn, waardoor in Deventer net de aansluiting naar Zwolle wordt gemist";;;;;"938841099032031232";aansluiting AND gemist;https://twitter.com/someone73/status/938841099032031232
vanvolsem_jan;2017-12-07 10:20;0;1;"Dank zij de prachtige service van de NMBS weer aansluiting gemist in Mechelen naar Willebroek. Mag dus 55 min wachten";;;;;"938684593447817216";aansluiting AND gemist;https://twitter.com/vanvolsem_jan/status/938684593447817216
Loreketels;2017-12-06 14:11;0;0;"@NMBS kan ik ergens een attest krijgen dat de trein vertraging had en waardoor ik mijn aansluiting dus heb gemist ? Ik heb namelijk deelexamen en ga hier voor te laat zijn met mogelijks een herexamen als gevolg";;belgium;@NMBS;;"938380330754560002";aansluiting AND gemist;https://twitter.com/Loreketels/status/938380330754560002
InekevanderWerf;2017-12-06 12:17;0;1;"Aansluiting in Zwolle gemist doordat dit langs het hele perron op de borden staat. Blijkt het allervoorste stuk van de trein @NS_online wel te vertrekken! pic.twitter.com/kJFTlSSpFv";;;@NS_online;;"938351707477692417";aansluiting AND gemist;https://twitter.com/InekevanderWerf/status/938351707477692417
MrJelmie;2017-12-06 09:21;0;6;"Na een bus gemist te hebben en ook nog eens extra vertraging opgelopen onderweg, vreesde ik voor mijn aansluiting . Gelukkig voorzag mijn trein ook 15 minuten vertraging, dus heb ik de quasi perfecte aansluiting . Heftige avonturen!";;Antwerp, Belgium;;;"938307363383185408";aansluiting AND gemist;https://twitter.com/MrJelmie/status/938307363383185408
NS_online;2017-12-05 22:23;0;1;"Mijn excuses dat je hierdoor je aansluiting hebt gemist op de trein richting Zwolle. Je kunt een claim voor de vertraging indienen op: http:// bit.ly/2htBHx0 ^RU";;Utrecht;;;"938141802418274304";aansluiting AND gemist;https://twitter.com/NS_online/status/938141802418274304
lisette_ens;2017-12-05 19:43;1;0;"Dank @NS_online sinterklaasavond verpest... #vertraging #2minuten #aansluitinggemist #pakvoortaanmaarweerdeauto";;Alphen aan den Rijn;@NS_online;#vertraging #2minuten #aansluitinggemist #pakvoortaanmaarweerdeauto;"938101647783481345";aansluiting AND gemist;https://twitter.com/lisette_ens/status/938101647783481345
bellpepperino;2017-12-05 14:48;0;1;"Aan de Vaart, bus was 11 minuten te laat. Aansluiting wellicht gemist met de trein. Nu moet ik een uur wachten op de volgende trein. “Met de lijn was je er al”.. grappig.";;;;;"938027191522217984";aansluiting AND gemist;https://twitter.com/bellpepperino/status/938027191522217984
JonaLendering;2017-12-05 13:23;0;0;"Dank je wel, NS, dankzij dit advies en een verkeerd omroepbericht had ik bijna in de trein gezeten naar Amsterdam. Diverse reizigers hebben de aansluiting naar Leeuwarden gemist . Stelletje prutsers. pic.twitter.com/Zi7vA8jsIk";;Amsterdam;;;"938005818502500353";aansluiting AND gemist;https://twitter.com/JonaLendering/status/938005818502500353
RETRotterdam;2017-12-15 01:04;0;0;"Actuele #RETverstoring #Tram4 #Tram7 #Tram8 #Tram25 Stremming. Omleiding . Meer info op http://www. ret.nl";;Rotterdam;;#RETverstoring #Tram4 #Tram7 #Tram8 #Tram25;"941443931853770752";Overstappen OR Omleiding;https://twitter.com/RETRotterdam/status/941443931853770752
JacquelinedeMaa;2017-12-15 00:28;0;1;"Op de een of andere manier valt afval altijd van de raadsagenda af, we moeten dus maar snel overstappen naar grondstoffen. @Ouder_Amstel";;Duivendrecht;@Ouder_Amstel;;"941434786190635008";Overstappen OR Omleiding;https://twitter.com/JacquelinedeMaa/status/941434786190635008
thee3zoetjes;2017-12-15 00:13;0;0;"@Ns_online In 2017 verslechterden de aansluiting van de Flevolijn sprinter op Zwolle al dramatisch, maar nu hebben jullie in 2018 écht alle overstappen daar op 26-29 minuten gepland. Waarom zo enorm klantonvriendelijk op een knooppunt??? #voorbeterov";;;@Ns_online;#voorbeterov;"941431020087336961";Overstappen OR Omleiding;https://twitter.com/thee3zoetjes/status/941431020087336961
erzijngrenzen;2017-12-14 23:57;1;0;"@D66 is de hele dag druk met verwijten maken over hen die WEL namens het volk opereren, en naar burgers luisteren. En juist door die zwartmakerij (op uw kosten) zien deze anti-democraten hun achterban overstappen . Regeren ho maar, kinderachtig REAgeren is 't enige. @APechtold https:// twitter.com/francolinie/st atus/941362058678939648 …";;;@D66 @APechtold;;"941426866430279682";Overstappen OR Omleiding;https://twitter.com/erzijngrenzen/status/941426866430279682
webguy;2017-12-14 23:44;0;0;"Weinig directe vluchten, dat heeft Schiphol wel. Dus indien niet overstappen op bus op Schiphol stap je ergens anders over (Copenhagen, etc). Niet perse efficiënter";;The Netherlands;;;"941423738632986625";Overstappen OR Omleiding;https://twitter.com/webguy/status/941423738632986625
RETRotterdam;2017-12-14 23:31;0;0;"Actuele #RETverstoring #Tram23 Stremming. Omleiding via Groeninx van Zoelenlaan en Remise Beverwaard v.v.Meer info op http://www. ret.nl";;Rotterdam;;#RETverstoring #Tram23;"941420339682189312";Overstappen OR Omleiding;https://twitter.com/RETRotterdam/status/941420339682189312
yonnalleumas;2017-12-14 23:24;0;0;"De startborden die aan afritten staan melden gewoon " Omleiding . A19 via route Q." en zijn nog wel oké. De borden die er voor oprijdend verkeer staan, melden echter "A19 afgesloten. Volg route Q." en dat is gewoon erg verwarrend.";;België;;;"941418731061891073";Overstappen OR Omleiding;https://twitter.com/yonnalleumas/status/941418731061891073
RETRotterdam;2017-12-14 23:21;0;0;"Actuele #RETverstoring #Tram23 Stremming. Omleiding via Groeninx van Zoelenlaan en Remise Beverwaard v.v.Meer info op http://www. ret.nl";;Rotterdam;;#RETverstoring #Tram23;"941417881799200768";Overstappen OR Omleiding;https://twitter.com/RETRotterdam/status/941417881799200768
rienvdlaan;2017-12-14 23:01;10;8;"@Aalsmeer_NL Wat hebben jullie samen met Connexion Kudelstaart aangedaan. Hopeloze nieuwe busverbinding met Schiphol. Buslijnen geschrapt, 1 of 2 keer overstappen voor 13km, slechte aansluittijden, mensen te laat op hun werk, kortom hele slechte deal. Kudel weer geslachtofferd?";;Kudelstaart;@Aalsmeer_NL;;"941412744061968384";Overstappen OR Omleiding;https://twitter.com/rienvdlaan/status/941412744061968384
Marketingvrouw;2017-12-14 22:43;0;0;"@gvb_klanten heeft tram 7 een nieuwe route? Volgens de app is er geen omleiding ...";;;@gvb_klanten;;"941408253568745473";Overstappen OR Omleiding;https://twitter.com/Marketingvrouw/status/941408253568745473
henri_kiers;2017-12-14 22:35;0;0;"Nou...ik denk dat de NS verantwoordelijk is. Overal wordt aangegeven dat het 1e moment van inchecken bepaalt of het om een dalreis gaat en dat overstappen tussen vervoerders mogelijk is.";;Utrecht;;;"941406332606918665";Overstappen OR Omleiding;https://twitter.com/henri_kiers/status/941406332606918665
WilCornielje;2017-12-14 22:28;0;0;"@joostniemoller heel scherp gezien. Overstappen naar @fvdemocratie https:// twitter.com/JoostNiemoller /status/941345184352260097 …";;;@joostniemoller @fvdemocratie;;"941404617103106049";Overstappen OR Omleiding;https://twitter.com/WilCornielje/status/941404617103106049
Vorkbaard;2017-12-14 22:26;0;1;"Ik moest een keer in Antwerpen een omleiding rijden. Daar ben ik niet zo goed in, dus ik reed maar aan achter een auto met een NL kenteken.";;Rotterdam;;;"941404023562924039";Overstappen OR Omleiding;https://twitter.com/Vorkbaard/status/941404023562924039
lorelei3112;2017-12-14 22:25;1;2;". Heel goed. Dan kunnen we alsnog terug overstappen naar @onvz eventueel. Wij zijn solidair met de #Eerstelijn . Dit beleid past hier absoluut niet in. #Fysiotherapie .";;Nederland;@onvz;#Eerstelijn #Fysiotherapie;"941403743563800578";Overstappen OR Omleiding;https://twitter.com/lorelei3112/status/941403743563800578
Tele2Nederland;2017-12-14 21:56;0;0;"Goed om te horen dat je wilt overstappen ! Wat bedoel je precies met het extra betalen voor een jaar contract? ^Michiel";;Nederland;;;"941396521173618689";Overstappen OR Omleiding;https://twitter.com/Tele2Nederland/status/941396521173618689
Arriva_NL;2017-12-14 21:34;0;0;"Ik zie dat lijn 10, van 14 t/m 17 december een omleiding rijdt ivm een kerstmarkt. Daardoor wijkt de bus van zijn route af. Meer info vind je op http:// bit.ly/2Cisaif . ^Lina";;Heerenveen;;;"941391022361280515";Overstappen OR Omleiding;https://twitter.com/Arriva_NL/status/941391022361280515
herman57760123;2017-12-14 21:19;0;0;"ik zou morgen meteen overstappen op electris koken maar ja om nu zelf de aansluiting betalen nee want ik woon in een huur huis dus mocht ik gaan verhuizen moet ik het in de oude staat teruh brengen";;;;;"941387188121546752";Overstappen OR Omleiding;https://twitter.com/herman57760123/status/941387188121546752
Rijkswaterstaat;2017-12-14 20:11;0;0;"Hoi Eric, het geldt inderdaad alleen voor de richting Leeuwarden zuid naar Garijp en er wordt inderdaad een omleiding ingesteld. We adviseren je om van te voren de routeplanners op https://www. vananaarbeter.nl/routeplanners te raadplegen.";;Nederland;;;"941370052472922112";Overstappen OR Omleiding;https://twitter.com/Rijkswaterstaat/status/941370052472922112
RWS_verkeer;2017-12-14 20:03;0;0;"Update A2 knooppunt Amstel: De monteur is aanwezig bij de defecte vrachtwagen. Volg de omleiding : Via de A10 richting Den Haag, keren bij de RAI (S109). #A2 L 30,8 pic.twitter.com/wGSJoqtKW9";;Nederland;;#A2;"941368147533234176";Overstappen OR Omleiding;https://twitter.com/RWS_verkeer/status/941368147533234176
GebakkenBanaan;2017-12-14 19:42;0;0;"Dan zou je nog altijd naar ‘de buren’ kunnen overstappen";;Gouda & Doetinchem;;;"941362718610739200";Overstappen OR Omleiding;https://twitter.com/GebakkenBanaan/status/941362718610739200
R_o_z_Z;2017-12-14 19:41;0;0;"Misschien moeten we maar overstappen op zwart wit Zodat de natuur ons kleuren kan brengen";;;;;"941362443237945344";Overstappen OR Omleiding;https://twitter.com/R_o_z_Z/status/941362443237945344
R_o_z_Z;2017-12-14 19:40;0;0;"Misschien moeten we maar overstappen op zwart wit Zodat de natuur ons kleuren kan brengen";;;;;"941362245174513665";Overstappen OR Omleiding;https://twitter.com/R_o_z_Z/status/941362245174513665
Tele2Nederland;2017-12-14 19:35;0;0;"Dat moet je denk ik even contact opnemen met Ziggo! ;) Mocht je willen overstappen naar Tele2 horen we dat natuurlijk graag! ^Cindy";;Nederland;;;"941361119138074624";Overstappen OR Omleiding;https://twitter.com/Tele2Nederland/status/941361119138074624
Arriva_NL;2017-12-14 19:33;0;0;"Sorry, ik zie geen stremming/ omleiding in Emmeloord in dit: http:// bit.ly/2c3M0V1 overzicht staan. ^Manon";;Heerenveen;;;"941360628970770432";Overstappen OR Omleiding;https://twitter.com/Arriva_NL/status/941360628970770432
NoahvdEnt;2017-12-14 19:31;0;0;"De Uithoflijnen hebben inderdaad last van vertragingen, dit komt voornamelijk door de oprit. Voor dat het "oprit probleem" er was lag het voor een groot deel aan de onderaannemer die deze ritten reed, nu is het een andere. De omleiding geldt voor de richting van Utr-Afoort.";;;;;"941360104271699969";Overstappen OR Omleiding;https://twitter.com/NoahvdEnt/status/941360104271699969
venniesnl;2017-12-14 19:28;0;0;"@Nuon Jullie claimen snelle reacties op vragen. Mijn e-mail is al bijna 2 dagen oud zonder enige respons. De beloofde cash back op 8 december trouwens ook nog niet gezien.... #servicekanbeter #traag #overstappen #lozebeloftes";;NL;@Nuon;#servicekanbeter #traag #overstappen #lozebeloftes;"941359240261853185";Overstappen OR Omleiding;https://twitter.com/venniesnl/status/941359240261853185
bantam_chick;2017-12-14 19:25;0;2;"Doorzichtige, sneue poging van andere partijen om Thierry te framen als afwezig. Spindoctors hebben hierover tevoren druk gebeld met elkaar. Helaas, niemand met gezond verstand trapt erin en hun leden blijven in groten getale overstappen naar #FVD .";;;;#FVD;"941358572453224448";Overstappen OR Omleiding;https://twitter.com/bantam_chick/status/941358572453224448
StichtseVecht;2017-12-14 19:15;0;0;"Heeft u een laag inkomen en wilt u overstappen op de collectieve zorgverzekering van de gemeente en Menzis? De Overstapcoach kan u helpen. Hoe? Lees http:// bit.ly/2zVMMOB pic.twitter.com/kVl9lWWPnJ";;;;;"941355932692504577";Overstappen OR Omleiding;https://twitter.com/StichtseVecht/status/941355932692504577
fraudehoortniet;2017-12-14 19:13;0;0;"Dordrecht verplichten ze het al om warmtenet te nemen En de mensen van gas af te sluiten Ik raad het mensen af want je kan nooit meer overstappen";;;;;"941355545197449216";Overstappen OR Omleiding;https://twitter.com/fraudehoortniet/status/941355545197449216
DJFUNKYFOX;2017-12-14 18:56;0;0;"@Tele2Nederland ik wil wel overstappen , maar ik wil een jaar contract, zonder daar 12 euro per jaar voor te betalen?";;Raalte;@Tele2Nederland;;"941351170492260352";Overstappen OR Omleiding;https://twitter.com/DJFUNKYFOX/status/941351170492260352
bram_;2017-12-14 18:55;0;3;"Een handgeschreven kaartje en een kleine attentie van @Keytradebank in de bus. Om ons te bedanken voor ons geduld deze zomer bij het overstappen naar Keyhome. Top service! pic.twitter.com/gLKTxi4DJh";;Gent, België;@Keytradebank;;"941351044084326400";Overstappen OR Omleiding;https://twitter.com/bram_/status/941351044084326400
ChrisKlunder;2017-12-14 18:47;0;0;"@KeolisNED deze week komt lijn 5 Station Deventer naar Colmschate al twee keer niet opdagen om 17:35! ‘s ochtends zijn de overstappen een RAMP met 16min overstaptijd minimaal en ‘s avonds laten jullie ons in de kou staan! Wat gaan jullie hier aan doen?! #fail @ProvOverijssel";;Deventer - The Netherlands;@KeolisNED @ProvOverijssel;#fail;"941348881668935680";Overstappen OR Omleiding;https://twitter.com/ChrisKlunder/status/941348881668935680
NS_online;2017-12-14 18:39;0;0;"We proberen zoveel mogelijk de overstappen haalbaar te maken maar kunnen niet overal een ruimte van een minuut of 8 creëren, dat gaat helaas niet. Ik hoop dat je alsnog snel je bestemming mag bereiken! ^JJ";;Utrecht;;;"941346846559137792";Overstappen OR Omleiding;https://twitter.com/NS_online/status/941346846559137792
Arriva_NL;2017-12-14 18:27;0;0;"Begrijp ik het goed dat je moet overstappen uit een andere bus? ^Lina";;Heerenveen;;;"941343913973026816";Overstappen OR Omleiding;https://twitter.com/Arriva_NL/status/941343913973026816
FlorisQuirijn;2017-12-14 18:13;0;0;"2/2 maar omdat de app niks, of pas laat, iets aangeeft is dit heel vervelend. Kan je daar geen tijden voor aanpassen, want die omleiding is al weken. Het te laat komen van bussen kwam echter ook al voor vóór de omleiding .";;The Netherlands;;;"941340453110210560";Overstappen OR Omleiding;https://twitter.com/FlorisQuirijn/status/941340453110210560
FlorisQuirijn;2017-12-14 18:11;0;0;"Maar... Hoe staat die omleiding in verband met een bus die van Amersfoort naar Utrecht gaat (en dus niet de oprit hoeft te hebben?";;The Netherlands;;;"941339835943587840";Overstappen OR Omleiding;https://twitter.com/FlorisQuirijn/status/941339835943587840
Talens12;2017-12-14 18:09;0;0;"Alweer post van #Nuon of ik wil overstappen . Leuk die 250e overstapbonus maar wees eerst duidelijk wat ik bij jullie betaal per kWh en incl of ex btw incl of ex energiebelasting";;Groningen, Nederland;;#Nuon;"941339463187353602";Overstappen OR Omleiding;https://twitter.com/Talens12/status/941339463187353602
fadingearth;2017-12-14 18:08;0;0;"Me in Mallorca. Ik wou een dag naar palma. Er stond zo semi direct ofzo bij die aankondigingen op het bord maar ik wist niet wat dat was dus ik ging gewoon die trein binnen en hij ging ook naar palma, maar je moet op een halte overstappen en ik bleef gewoon zitten";;Belgium;;;"941338997971935232";Overstappen OR Omleiding;https://twitter.com/fadingearth/status/941338997971935232
GVB_klanten;2017-12-14 17:57;0;0;"Goedemiddag, i.v.m. een weg versperring hadden wij een korte omleiding . De dienstregeling is weer hervat. Wij verwachten geen omleiding morgen. Fijne avond ^GW";;Amsterdam;;;"941336260651683840";Overstappen OR Omleiding;https://twitter.com/GVB_klanten/status/941336260651683840
sarlottje;2017-12-14 17:52;0;0;"Sacharovlaan. Maar is er morgen ook een omleiding ?";;The Netherlands;;;"941335207441035271";Overstappen OR Omleiding;https://twitter.com/sarlottje/status/941335207441035271
